"","gender","oldness","student_loaniness","homeland"
"164",0,50,1,"Oceana"
"165",0,20,1,"Eastasia"
"166",1,30,3,"Oceana"
"167",1,35,4,"Oceana"
"168",1,47,1,"Oceana"
"169",1,18,4,"Eurasia"
"170",0,37,3,"Eastasia"
"171",1,38,1,"Oceana"
"172",1,60,1,"Oceana"
"173",1,68,1,"Eurasia"
"174",1,39,1,"Eurasia"
"175",0,25,4,"Oceana"
"176",1,30,5,"Oceana"
"177",1,54,2,"Eastasia"
"178",1,54,5,"Eastasia"
"179",0,20,1,"Eurasia"
"180",0,55,5,"Eastasia"
"181",1,19,4,"Eastasia"
"182",0,43,3,"Oceana"
"183",0,21,4,"Eurasia"
"184",1,37,3,"Eastasia"
"185",1,20,3,"Eurasia"
"186",1,42,3,"Oceana"
"187",0,31,3,"Eastasia"
"188",1,34,4,"Eastasia"
"189",1,22,1,"Eastasia"
"190",0,22,5,"Oceana"
"191",1,52,5,"Eastasia"
"192",1,42,2,"Oceana"
"193",1,62,5,"Oceana"
"194",0,18,1,"Eastasia"
"195",0,36,5,"Eastasia"
"196",1,32,4,"Eastasia"
"197",0,37,6,"Oceana"
"198",1,66,1,"Eurasia"
"199",1,28,1,"Eastasia"
"200",1,40,1,"Eastasia"
"201",1,83,2,"Eastasia"
"202",0,24,4,"Oceana"
"206",1,50,4,"Oceana"
"207",0,34,6,"Eastasia"
"211",0,25,3,"Eurasia"
"212",1,59,3,"Oceana"
"213",0,28,3,"Eurasia"
"215",0,NA,3,"Oceana"
"216",0,57,4,"Eurasia"
"217",1,65,5,"Eastasia"
"218",1,69,3,"Eastasia"
"219",1,32,3,"Eastasia"
"220",1,76,3,"Eastasia"
"221",0,27,1,"Eastasia"
"222",1,27,3,"Oceana"
"223",1,42,4,"Eastasia"
"226",1,70,1,"Eurasia"
"228",1,22,5,"Eastasia"
"230",0,53,3,"Oceana"
"231",1,33,4,"Eurasia"
"232",1,51,6,"Eastasia"
"235",1,22,6,"Eastasia"
"236",0,30,3,"Oceana"
"237",1,21,4,"Eastasia"
"238",1,50,3,"Eurasia"
"239",1,19,5,"Oceana"
"241",0,54,2,"Eurasia"
"245",1,52,2,"Eastasia"
"246",0,40,1,"Oceana"
"248",1,22,4,"Oceana"
"249",0,20,5,"Eastasia"
"253",1,51,1,"Oceana"
"254",0,75,1,"Eurasia"
"255",0,34,4,"Oceana"
"256",1,71,2,"Eastasia"
"257",0,60,5,"Oceana"
"261",1,83,1,"Eastasia"
"262",0,50,1,"Eastasia"
"263",1,26,4,"Eastasia"
"264",0,30,1,"Eastasia"
"265",1,59,2,"Eastasia"
"266",1,36,3,"Oceana"
"267",0,26,4,"Oceana"
"268",0,47,3,"Oceana"
"269",1,64,1,"Eastasia"
"270",1,43,1,"Oceana"
"271",1,20,5,"Eurasia"
"272",0,18,4,"Oceana"
"273",0,20,2,"Oceana"
"274",1,21,3,"Eastasia"
"275",0,63,4,"Eastasia"
"276",0,27,3,"Eastasia"
"277",1,27,2,"Eastasia"
"278",0,25,5,"Eurasia"
"279",0,26,3,"Oceana"
"280",1,30,1,"Eurasia"
"281",0,20,3,"Eurasia"
"282",1,31,5,"Oceana"
"283",0,20,1,"Eurasia"
"284",1,61,1,"Eurasia"
"285",0,33,4,"Oceana"
"286",1,23,1,"Oceana"
"287",0,47,3,"Eastasia"
"288",1,23,4,"Eastasia"
"289",1,36,3,"Eastasia"
"290",1,30,2,"Eurasia"
"291",0,39,3,"Eastasia"
"292",1,19,4,"Oceana"
"293",1,20,5,"Eastasia"
"294",1,25,4,"Eurasia"
"295",1,49,6,"Eastasia"
"296",0,45,5,"Eastasia"
"297",0,25,2,"Eurasia"
"298",0,46,2,"Oceana"
"299",0,28,6,"Eurasia"
"300",0,19,4,"Eastasia"
"301",1,43,2,"Eurasia"
"302",0,28,3,"Eurasia"
"303",1,30,1,"Eastasia"
"304",0,31,2,"Eastasia"
"305",1,22,3,"Eurasia"
"306",1,42,3,"Eastasia"
"307",1,40,3,"Eastasia"
"308",1,29,3,"Eastasia"
"309",0,23,4,"Eurasia"
"310",0,58,1,"Oceana"
"311",0,24,3,"Eastasia"
"312",1,19,3,"Eastasia"
"313",1,48,1,"Oceana"
"314",NA,1,NA,"Oceana"
"316",0,63,1,"Eurasia"
"331",0,51,3,"Eurasia"
"335",0,40,4,"Oceana"
"347",1,57,6,"Eastasia"
"351",1,34,3,"Eurasia"
"358",0,23,5,"Eurasia"
"363",0,75,3,"Oceana"
"364",0,56,1,"Eurasia"
"368",1,36,2,"Eastasia"
"370",0,33,3,"Eastasia"
"371",1,34,4,"Eurasia"
"377",0,50,5,"Eurasia"
"378",0,25,3,"Eurasia"
"383",1,60,1,"Eurasia"
"385",1,45,3,"Eastasia"
"387",1,34,3,"Eurasia"
"389",0,38,5,"Eastasia"
"393",1,45,2,"Eurasia"
"405",1,27,1,"Eurasia"
"409",1,44,1,"Oceana"
"412",1,33,2,"Eastasia"
"418",1,41,1,"Eurasia"
"419",1,35,3,"Eurasia"
"420",1,39,5,"Eurasia"
"422",1,41,2,"Eastasia"
"427",1,31,5,"Eurasia"
"428",0,53,1,"Eurasia"
"429",1,40,1,"Eurasia"
"435",0,38,4,"Eurasia"
"437",0,57,1,"Oceana"
"438",0,47,5,"Eastasia"
"440",1,18,4,"Eurasia"
"444",0,40,3,"Eurasia"
"446",1,70,1,"Eastasia"
"447",1,18,4,"Eurasia"
"449",0,53,4,"Eastasia"
