Foreign born.............………………………,"43,822","6,617",268,15.1,0.6,"45,391","6,603",295,14.5,0.6,-14,-0.6
  Naturalized citizen....……………………..,"20,409","2,045",143,10.0,0.7,"21,851","2,213",146,10.1,0.6,168,0.1
  Not a citizen..........………………………..,"23,413","4,572",222,19.5,0.9,"23,540","4,390",238,18.6,0.9,-182,-0.9
,,,,,,,,,,,,
Region,,,,,,,,,,,,
Northeast................………………………,"55,470","5,969",350,10.8,0.6,"55,972","6,373",339,11.4,0.6,404,0.6
Midwest..................………………………,"66,897","7,809",355,11.7,0.5,"67,345","7,647",397,11.4,0.6,-162,-0.3
South....................………………………..,"121,166","17,028",524,14.1,0.4,"122,250","16,609",587,13.6,0.5,-420,-0.5
West.....................………………………..,"76,377","9,810",373,12.8,0.5,"76,982","9,069",400,11.8,0.5,*-740,*-1.1
,,,,,,,,,,,,
Residence4,,,,,,,,,,,,
Inside metropolitan statistical areas……..,"276,296","33,718",835,12.2,0.3,"279,537","33,322",857,11.9,0.3,-396,-0.3
  Inside principal cities……………………..,"103,252","16,495",643,16.0,0.5,"103,860","16,218",634,15.6,0.5,-277,-0.4
  Outside principal cities…………………..,"173,044","17,223",577,10.0,0.3,"175,677","17,105",577,9.7,0.3,-119,-0.2
Outside metropolitan statistical areas……,"43,614","6,898",600,15.8,0.8,"43,012","6,376",523,14.8,0.7,*-522,*-1.0
,,,,,,,,,,,,
Work Experience,,,,,,,,,,,,
"          Total, aged 18 to 64……..….……………","197,051","22,795",473,11.6,0.2,"198,113","22,209",564,11.2,0.3,-586,*-0.4
All workers…………………...………………,"150,904","8,743",254,5.8,0.2,"152,199","8,135",259,5.3,0.2,*-608,*-0.4
"  Worked full-time, year-round……………….","107,781","2,416",131,2.2,0.1,"109,700","2,422",128,2.2,0.1,6,Z
"  Less than full-time, year-round……………………..","43,123","6,327",223,14.7,0.5,"42,499","5,714",224,13.4,0.5,*-613,*-1.2
Did not work at least 1 week……………….,"46,148","14,052",381,30.5,0.7,"45,914","14,073",440,30.7,0.7,21,0.2
,,,,,,,,,,,,
Disability Status5,,,,,,,,,,,,
"          Total, aged 18 to 64……..….……………","197,051","22,795",473,11.6,0.2,"198,113","22,209",564,11.2,0.3,-586,*-0.4
With a disability…………………………….,"15,405","4,123",191,26.8,1.1,"15,116","3,764",170,24.9,1.0,*-360,*-1.9
With no disability……………………………,"180,783","18,629",409,10.3,0.2,"182,042","18,412",504,10.1,0.3,-217,-0.2
,,,,,,,,,,,,
Educational Attainment,,,,,,,,,,,,
"          Total, aged 25 and older…………….","216,921","22,636",425,10.4,0.2,"219,830","22,163",516,10.1,0.2,-473,*-0.4
No high school diploma………………………,"22,541","5,599",214,24.8,0.8,"22,411","5,485",217,24.5,0.9,-113,-0.4
"High school, no college…………………….","62,512","8,309",250,13.3,0.4,"62,685","7,942",285,12.7,0.4,*-367,*-0.6
"Some college, no degree…………………….","57,765","5,430",202,9.4,0.3,"57,810","5,075",206,8.8,0.4,*-356,*-0.6
Bachelor's degree or higher………………………,"74,103","3,299",167,4.5,0.2,"76,924","3,661",181,4.8,0.2,*363,*0.3
*An asterisk preceding an estimate indicates change is statistically different from zero at the 90 percent confidence level.,,,,,,,,,,,,
Z Represents or rounds to zero.,,,,,,,,,,,,
"1A margin of error is a measure of an estimate's variability.  The larger the margin of error in relation to the size of the estimate, the less reliable the estimate.  This number, when added to and subtracted from the estimate, forms the 90 percent confidence interval.  Margins of error shown in this table are based on standard errors calculated using replicate weights.  For more information, see ""Standard Errors and Their Use"" at <www2.census.gov/library/publications/2018/demo/p60-263sa.pdf>.",,,,,,,,,,,,
2Details may not sum to totals because of rounding.,,,,,,,,,,,,
"3Federal surveys give respondents the option of reporting more than one race.  Therefore, two basic ways of defining a race group are possible.  A group such as Asian may be defined as those who reported Asian and no other race (the race-alone or single-race concept) or as those who reported Asian regardless of whether they also reported another race (the race-alone-or-in-combination concept).  This table shows data using the first approach (race alone). The use of the single-race population does not imply that it is the preferred method of presenting or analyzing data. The Census Bureau uses a variety of approaches. Information on people who reported more than one race, such as White and American Indian and Alaska Native or Asian and Black or African American, is available from the 2010 Census through American FactFinder.  About 2.9 percent of people reported more than one race in the 2010 Census.  Data for American Indians and Alaska Natives, Native Hawaiians and Other Pacific Islanders, and those reporting two or more races are not shown separately.",,,,,,,,,,,,
"4The 2016 estimates presented for residence may not match the previously published estimates due to a correction in the assignment of principal city status for a small number of households.  For the definition of metropolitan statistical areas and principal cities, see <www.census.gov/programs-surveys/metro-micro/about/glossary.html>.",,,,,,,,,,,,
5The sum of those with and without a disability does not equal the total because disability status is not defined for individuals in the armed forces.,,,,,,,,,,,,
"Source:  U.S. Census Bureau, Current Population Survey, 2017 and 2018 Annual Social and Economic Supplements.",,,,,,,,,,,,
